product_name,average_sentiment_score
"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",0.9221556886227545
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney??????(Black 1400 CMH),0.8477157360406091
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney??????(Black 1200 CMH),0.95
WD Elements 2 TB Wired External Hard Disk Drive (HDD)??????????(Black),0.903448275862069
Butterfly Magic Fruit & Vegetable Cleaner 250 W Food Processor??????????(White),1.0
Seagate Expansion for Windows and Mac with 3 years Data Recovery Services ?????? Portable 1 TB External Hard Disk Drive (HDD)??????????(Black),0.8728813559322034
"MOTOROLA MOTODW12PS Free Standing 12 Place Settings with UV Sterilisation, Flexi Rack, Low Decibel Wash Dishwasher",0.9523809523809523
Inalsa Wonder Maxie Plus 700 W Food Processor??????????(White),0.7777777777777778
"USHA FP 3811_ 1000 W Food Processor??????????(Black, Silver)",0.776595744680851
Airtel Regular Digital TV DTH Remote Compatible with SD and HD Recording (Black) Airtel Remote Controller??????(Black),0.8448275862068966
Inalsa Maxie Marvel 800 W Food Processor??????????(White),0.8620689655172413
Whirlpool CLASSIC CF 60 BK HOOD 60 cm 750 m??/hr Wall Mounted Chimney??????(Black 750 CMH),0.9215686274509803
"SportSoul Cotton Gym & Athletic Abdomen Support??????(Grey, Blue)",0.9
Hindware Ripple 90 Auto Clean Wall Mounted Chimney??????(Inox 1350 CMH),0.9155555555555556
Inalsa Inox 1000 1000 W Food Processor??????????(Silver:Black),0.8282828282828283
"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf??????(Number of Shelves - 1, Clear)",1.0
BAJAJ FX7 600 W Food Processor,1.0
PHILIPS HR7627/00 650 W Food Processor??????????(White),0.8376068376068376
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",0.9809417040358744
BOSCH SMS24AW00I Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9090909090909091
LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9230769230769231
Butterfly Cresta 4 Jars 750 W Food Processor??????????(Turquoise Green),0.8461538461538461
Tata Sky Tatasky 03 Dth Univeral SD / HD Set Up Box Remote Controller with Batteries (Black) Tatasky Remote Controller??????(Black),0.723404255319149
Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney??????(Black 1200 CMH),0.9158163265306123
Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,1.0
Google Nest Mini (2nd Gen) with Google Assistant Smart Speaker??????(Chalk),0.8309148264984227
"BLUECHIP BL60SmartTV3.1Amp TV Voltage Stabilizer for LED TV/Smart TV Up to 60+ Inches + Set Top Box + home theater , With 3 Years Warranty??????(Gold)",0.9142857142857143
WONDERCHEF Nutri-blend FP-Compact 350 W Food Processor??????????(Black),0.5333333333333333
"KENT Vegetable Cleaner - Counter Top 250 W Food Processor??????????(Silver, Black)",0.8
PHILIPS HL1661/00 700 W Food Processor??????????(White),0.4
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens????????(Black)",0.9488345650938033
VICTORY Medium Weight ( Pack of 1 ) Rubber Cricket Tennis Ball Cricket Rubber Ball??????(Pack of 1),0.6818181818181818
MAHARAJA WHITELINE Fortune FP - 102 600 W Food Processor??????????(White & Mystic Blue),0.5
Airtel Airtel Universal Setup box Remote Digital Setup box Universal Remote Airtel Remote Controller??????(Black),0.803030303030303
